se_id,word,category,contrast
1,i'm,pronoun_contraction,FALSE
2,he's,pronoun_contraction,FALSE
3,she's,pronoun_contraction,FALSE
4,it's,pronoun_contraction,FALSE
5,you're,pronoun_contraction,FALSE
6,we're,pronoun_contraction,FALSE
7,they're,pronoun_contraction,FALSE
8,i'd,pronoun_contraction,FALSE
9,you'd,pronoun_contraction,FALSE
10,we'd,pronoun_contraction,FALSE
11,they'd,pronoun_contraction,FALSE
12,he'd,pronoun_contraction,FALSE
13,she'd,pronoun_contraction,FALSE
14,it'd,pronoun_contraction,FALSE
15,i've,pronoun_contraction,FALSE
16,you've,pronoun_contraction,FALSE
17,they've,pronoun_contraction,FALSE
18,he's,pronoun_contraction,FALSE
19,she's,pronoun_contraction,FALSE
20,it's,pronoun_contraction,FALSE
21,i'd,pronoun_contraction,FALSE
22,you'd,pronoun_contraction,FALSE
23,we'd,pronoun_contraction,FALSE
24,the'y,pronoun_contraction,FALSE
25,he'd,pronoun_contraction,FALSE
26,she'd,pronoun_contraction,FALSE
27,it'd,pronoun_contraction,FALSE
28,a,article_indefinite,FALSE
29,an,article_indefinite,FALSE
30,the,article_definite,FALSE
31,aboard,preposition,FALSE
32,about,preposition,FALSE
33,above,preposition,FALSE
34,across,preposition,FALSE
35,after,preposition,FALSE
36,against,preposition,TRUE
37,along,preposition,FALSE
38,amid,preposition,FALSE
39,among,preposition,FALSE
40,anti,preposition,TRUE
41,around,preposition,FALSE
42,as,preposition,FALSE
43,at,preposition,FALSE
44,before,preposition,FALSE
45,behind,preposition,FALSE
46,below,preposition,FALSE
47,beneath,preposition,FALSE
48,beside,preposition,FALSE
49,besides,preposition,FALSE
50,between,preposition,FALSE
51,beyond,preposition,FALSE
52,but,preposition,TRUE
53,by,preposition,FALSE
54,concerning,preposition,FALSE
55,considering,preposition,FALSE
56,despite,preposition,TRUE
57,down,preposition,FALSE
58,during,preposition,FALSE
59,except,preposition,TRUE
60,excepting,preposition,TRUE
61,excluding,preposition,TRUE
62,following,preposition,FALSE
63,for,preposition,FALSE
64,from,preposition,FALSE
65,in,preposition,FALSE
66,inside,preposition,FALSE
67,into,preposition,FALSE
68,like,preposition,FALSE
69,minus,preposition,FALSE
70,near,preposition,FALSE
71,of,preposition,FALSE
72,off,preposition,FALSE
73,on,preposition,FALSE
74,onto,preposition,FALSE
75,opposite,preposition,TRUE
76,outside,preposition,TRUE
77,over,preposition,FALSE
78,past,preposition,FALSE
79,per,preposition,FALSE
80,plus,preposition,FALSE
81,regarding,preposition,FALSE
82,round,preposition,FALSE
83,save,preposition,FALSE
84,since,preposition,FALSE
85,than,preposition,TRUE
86,through,preposition,FALSE
87,to,preposition,FALSE
88,toward,preposition,FALSE
89,towards,preposition,FALSE
90,under,preposition,FALSE
91,underneath,preposition,FALSE
92,unlike,preposition,FALSE
93,until,preposition,FALSE
94,up,preposition,FALSE
95,upon,preposition,FALSE
96,versus,preposition,TRUE
97,via,preposition,FALSE
98,with,preposition,FALSE
99,within,preposition,FALSE
100,without,preposition,TRUE
101,am,verb_be,FALSE
102,are,verb_be,FALSE
103,is,verb_be,FALSE
104,was,verb_be,FALSE
105,were,verb_be,FALSE
106,been,verb_be,FALSE
107,being,verb_be,FALSE
108,be,verb_be,FALSE
109,do,verb_do,FALSE
110,does,verb_do,FALSE
111,did,verb_do,FALSE
112,done,verb_do,FALSE
113,doing,verb_do,FALSE
114,have,verb_have,FALSE
115,has,verb_have,FALSE
116,had,verb_have,FALSE
117,having,verb_have,FALSE
118,and,conjunction,FALSE
119,but,conjunction,TRUE
120,or,conjunction,FALSE
121,so,conjunction,FALSE
122,yet,conjunction,FALSE
123,nor,conjunction,TRUE
124,for,conjunction,FALSE
125,after,conjunction,FALSE
126,although,conjunction,TRUE
127,as,conjunction,FALSE
128,because,conjunction,FALSE
129,before,conjunction,FALSE
130,if,conjunction,FALSE
131,once,conjunction,FALSE
132,since,conjunction,FALSE
133,that,conjunction,FALSE
134,though,conjunction,FALSE
135,till,conjunction,FALSE
136,unless,conjunction,TRUE
137,while,conjunction,FALSE
138,where,conjunction,FALSE
139,whether,conjunction,FALSE
140,even,conjunction,TRUE
141,as,conjunction,FALSE
142,whereas,conjunction,FALSE
143,inasmuch,conjunction,FALSE
144,whenever,conjunction,FALSE
145,until,conjunction,FALSE
146,lest,conjunction,TRUE
147,regardless,conjunction,FALSE
148,despite,conjunction,FALSE
149,besides,conjunction,FALSE
150,conversely,conjunction,FALSE
151,wherever,conjunction,FALSE
152,whiles,conjunction,FALSE
153,notwithstanding,conjunction,TRUE
154,whereas,conjunction,FALSE
155,whether,conjunction,FALSE
156,whilst,conjunction,FALSE
157,i,pronoun,FALSE
158,you,pronoun,FALSE
159,he,pronoun,FALSE
160,she,pronoun,FALSE
161,it,pronoun,FALSE
162,we,pronoun,FALSE
163,they,pronoun,FALSE
164,my,article_possesive,FALSE
165,your,article_possesive,FALSE
166,his,article_possesive,FALSE
167,her,article_possesive,FALSE
168,our,article_possesive,FALSE
169,their,article_possesive,FALSE
170,mine,pronoun_possesive,FALSE
171,yours,pronoun_possesive,FALSE
172,his,pronoun_possesive,FALSE
173,hers,pronoun_possesive,FALSE
174,ours,pronoun_possesive,FALSE
175,theirs,pronoun_possesive,FALSE
